namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,3386606564438
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,3126470288821
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Anggaran,223750000000
Provinsi Banten,Provinsi Banten,2024,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Realisasi,178394580122
Provinsi Banten,Provinsi Banten,2024,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Anggaran,86875060165
Provinsi Banten,Provinsi Banten,2024,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Realisasi,86875060164.95
Provinsi Banten,Provinsi Banten,2024,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Anggaran,0
Provinsi Banten,Provinsi Banten,2024,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Realisasi,0
Provinsi Banten,Provinsi Banten,2024,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Anggaran,138497733036
Provinsi Banten,Provinsi Banten,2024,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Realisasi,126956255283
Provinsi Bengkulu,Provinsi Bengkulu,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,862028863343
Provinsi Bengkulu,Provinsi Bengkulu,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,369162062776
Provinsi Bengkulu,Provinsi Bengkulu,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,22761596934
Provinsi Bengkulu,Provinsi Bengkulu,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,1891870314
Provinsi Bengkulu,Provinsi Bengkulu,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,16356026932
Provinsi Bengkulu,Provinsi Bengkulu,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,13245590906.2
Provinsi Bengkulu,Provinsi Bengkulu,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,150024561034
Provinsi Bengkulu,Provinsi Bengkulu,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,3001636121.72
Provinsi Bengkulu,Provinsi Bengkulu,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,2005758170000
Provinsi Bengkulu,Provinsi Bengkulu,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,1070075100567
Provinsi Bengkulu,Provinsi Bengkulu,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,1116000000
Provinsi Bengkulu,Provinsi Bengkulu,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,0
Provinsi Bengkulu,Provinsi Bengkulu,2024,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,1251586600319
