namapemda,provinsi,tahun,level2,jenis,nilai
Provinsi Kalimantan Utara,Provinsi Kalimantan Utara,2024,Dana Alokasi Umum,Anggaran,1154831485000
Provinsi Kalimantan Utara,Provinsi Kalimantan Utara,2024,Dana Alokasi Umum,Realisasi,1153667023651
Provinsi Kalimantan Utara,Provinsi Kalimantan Utara,2024,Dana Bagi Hasil,Anggaran,624155472000
Provinsi Kalimantan Utara,Provinsi Kalimantan Utara,2024,Dana Bagi Hasil,Realisasi,624155369000
Provinsi Kalimantan Utara,Provinsi Kalimantan Utara,2024,Dana Insentif Daerah,Anggaran,12648494000
Provinsi Kalimantan Utara,Provinsi Kalimantan Utara,2024,Dana Insentif Daerah,Realisasi,12648494000
Provinsi Kepulauan Riau,Provinsi Kepulauan Riau,2024,Dana Alokasi Khusus Fisik,Anggaran,160607688000
Provinsi Kepulauan Riau,Provinsi Kepulauan Riau,2024,Dana Alokasi Khusus Fisik,Realisasi,112615994443
Provinsi Kepulauan Riau,Provinsi Kepulauan Riau,2024,Dana Alokasi Khusus Nonfisik,Anggaran,307296370000
Provinsi Kepulauan Riau,Provinsi Kepulauan Riau,2024,Dana Alokasi Khusus Nonfisik,Realisasi,285124841039
Provinsi Kepulauan Riau,Provinsi Kepulauan Riau,2024,Dana Alokasi Umum,Anggaran,1177919036000
Provinsi Kepulauan Riau,Provinsi Kepulauan Riau,2024,Dana Alokasi Umum,Realisasi,1171725551151
Provinsi Kepulauan Riau,Provinsi Kepulauan Riau,2024,Dana Bagi Hasil,Anggaran,286136036000
Provinsi Kepulauan Riau,Provinsi Kepulauan Riau,2024,Dana Bagi Hasil,Realisasi,286134537980
Provinsi Kepulauan Riau,Provinsi Kepulauan Riau,2024,Dana Insentif Daerah,Anggaran,14318554000
Provinsi Kepulauan Riau,Provinsi Kepulauan Riau,2024,Dana Insentif Daerah,Realisasi,11315088000
Provinsi Lampung,Provinsi Lampung,2024,Dana Alokasi Khusus Fisik,Anggaran,267357679000
Provinsi Lampung,Provinsi Lampung,2024,Dana Alokasi Khusus Fisik,Realisasi,177042079691
