namapemda,provinsi,tahun,name,jenis,nilai
Provinsi Bengkulu,Provinsi Bengkulu,2024,52. Belanja Barang dan Jasa,Realisasi,424290614042.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,52. Belanja Barang dan Jasa,Anggaran,901224967302.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,52. Belanja Barang dan Jasa,Realisasi,424290614042.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,53. Belanja Modal,Anggaran,408496671751.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,53. Belanja Modal,Realisasi,184091628508.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,53. Belanja Modal,Anggaran,408496671751.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,53. Belanja Modal,Realisasi,184091628508.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,53. Belanja Modal,Anggaran,408496671751.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,53. Belanja Modal,Realisasi,184091628508.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,54. Belanja Lainnya,Anggaran,560736978871.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,54. Belanja Lainnya,Realisasi,448142434914.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,54. Belanja Lainnya,Anggaran,560736978871.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,54. Belanja Lainnya,Realisasi,448142434914.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,54. Belanja Lainnya,Anggaran,560736978871.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,54. Belanja Lainnya,Realisasi,448142434914.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,61. Penerimaan Pembiayaan Daerah,Anggaran,65000000000.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,61. Penerimaan Pembiayaan Daerah,Realisasi,0.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,61. Penerimaan Pembiayaan Daerah,Anggaran,65000000000.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,61. Penerimaan Pembiayaan Daerah,Realisasi,0.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,61. Penerimaan Pembiayaan Daerah,Anggaran,65000000000.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,61. Penerimaan Pembiayaan Daerah,Realisasi,0.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,62. Pengeluaran Pembiayaan Daerah,Anggaran,1000000000.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,62. Pengeluaran Pembiayaan Daerah,Realisasi,0.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,62. Pengeluaran Pembiayaan Daerah,Anggaran,1000000000.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,62. Pengeluaran Pembiayaan Daerah,Realisasi,0.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,62. Pengeluaran Pembiayaan Daerah,Anggaran,1000000000.0
Provinsi Bengkulu,Provinsi Bengkulu,2024,62. Pengeluaran Pembiayaan Daerah,Realisasi,0.0
Provinsi DI Yogyakarta,Provinsi DI Yogyakarta,2024,41. PAD,Anggaran,2289884435884.0
