wilayah_kode,wilayah,tahun,value
6500,KALIMANTAN UTARA,2018,0.303
1800,LAMPUNG,2018,0.346
1400,RIAU,2018,0.347
1900,KEP. BANGKA BELITUNG,2018,0.289
1900,KEP. BANGKA BELITUNG,2018,0.296
6300,KALIMANTAN SELATAN,2018,0.34
9400,PAPUA,2018,0.398
6500,KALIMANTAN UTARA,2018,0.307
9100,PAPUA BARAT,2018,0.331
1100,ACEH,2018,0.338
1600,SUMATERA SELATAN,2018,0.341
5200,NUSA TENGGARA BARAT,2018,0.391
8100,MALUKU,2018,0.291
9100,PAPUA BARAT,2018,0.394
3500,JAWA TIMUR,2018,0.375
8200,MALUKU UTARA,2018,0.266
3500,JAWA TIMUR,2018,0.379
3600,BANTEN,2018,0.367
1700,BENGKULU,2018,0.362
9999,INDONESIA,2018,0.319
7200,SULAWESI TENGAH,2018,0.346
6200,KALIMANTAN TENGAH,2018,0.344
7400,SULAWESI TENGGARA,2018,0.37
2100,KEP. RIAU,2018,0.289
7300,SULAWESI SELATAN,2018,0.388
7500,GORONTALO,2018,0.413
1400,RIAU,2018,0.379
2100,KEP. RIAU,2018,0.325
1400,RIAU,2018,0.288
5200,NUSA TENGGARA BARAT,2018,0.398
7300,SULAWESI SELATAN,2018,0.391
7100,SULAWESI UTARA,2018,0.349
3500,JAWA TIMUR,2018,0.327
1300,SUMATERA BARAT,2018,0.308
1100,ACEH,2018,0.273
1100,ACEH,2018,0.318
7600,SULAWESI BARAT,2018,0.335
3200,JAWA BARAT,2018,0.413
5200,NUSA TENGGARA BARAT,2018,0.333
3300,JAWA TENGAH,2018,0.315
1800,LAMPUNG,2018,0.294
9999,INDONESIA,2018,0.391
1200,SUMATERA UTARA,2018,0.335
3400,DI YOGYAKARTA,2018,0.422
3200,JAWA BARAT,2018,0.418
3600,BANTEN,2018,0.299
6300,KALIMANTAN SELATAN,2018,0.285
3300,JAWA TENGAH,2018,0.4
1700,BENGKULU,2018,0.355
3400,DI YOGYAKARTA,2018,0.35
6300,KALIMANTAN SELATAN,2018,0.357
1500,JAMBI,2018,0.335
1200,SUMATERA UTARA,2018,0.33
7500,GORONTALO,2018,0.39
6200,KALIMANTAN TENGAH,2018,0.318
9100,PAPUA BARAT,2018,0.424
8100,MALUKU,2018,0.326
6100,KALIMANTAN BARAT,2018,0.339
3400,DI YOGYAKARTA,2018,0.326
1900,KEP. BANGKA BELITUNG,2018,0.222
