,namapemda,tahun,kode_wilayah,nilai
172,Provinsi Kepulauan Riau,2023,2100,4765819543519
173,Provinsi Lampung,2023,1800,6392916888520
174,Provinsi Maluku,2023,8100,4808226460744
175,Provinsi Maluku Utara,2023,8200,5574287776628
176,Provinsi Nusa Tenggara Barat,2023,5200,6392615673663
177,Provinsi Nusa Tenggara Timur,2023,5300,6432110821307
178,Provinsi Papua,2023,9400,4707704265336
179,Provinsi Papua Barat,2023,9200,9577807671708
180,Provinsi Papua Barat,2023,9100,9577807671708
181,Provinsi Riau,2023,1400,8309976744034
182,Provinsi Sulawesi Barat,2023,7600,3109052387370
183,Provinsi Sulawesi Selatan,2023,7300,8843742019619
184,Provinsi Sulawesi Tengah,2023,7200,6649228397060
185,Provinsi Sulawesi Tenggara,2023,7400,6945271146953
186,Provinsi Sulawesi Utara,2023,7100,4631606682318
187,Provinsi Sumatera Barat,2023,1300,6901291912599
188,Provinsi Sumatera Selatan,2023,1600,10502833276600
189,Provinsi Sumatera Utara,2023,1200,11020478834687
190,Provinsi Aceh,2024,1100,15638790609112
191,Provinsi Bali,2024,5100,4455973600784
192,Provinsi Bangka Belitung,2024,1900,2839206117156
193,Provinsi Banten,2024,3600,6067293444052
194,Provinsi Bengkulu,2024,1700,3889906345915
195,Provinsi DI Yogyakarta,2024,3400,7002974841399
196,Provinsi DKI Jakarta,2024,3100,41120262052833
197,Provinsi Gorontalo,2024,7500,2708073523476
198,Provinsi Jambi,2024,1500,4759762882814
199,Provinsi Jawa Barat,2024,3200,21036505585698
200,Provinsi Jawa Tengah,2024,9700,16791516286962
201,Provinsi Jawa Tengah,2024,9600,16791516286962
202,Provinsi Jawa Tengah,2024,3300,16791516286962
203,Provinsi Jawa Timur,2024,3500,21507824000679
204,Provinsi Kalimantan Barat,2024,6100,5732286275549
205,Provinsi Kalimantan Selatan,2024,6300,10010530117421
206,Provinsi Kalimantan Selatan,2024,9500,10010530117421
207,Provinsi Kalimantan Tengah,2024,6200,8150614749075
208,Provinsi Kalimantan Timur,2024,6400,15116228193738
209,Provinsi Kalimantan Utara,2024,6500,4029090410120
210,Provinsi Kepulauan Riau,2024,2100,3813193696613
211,Provinsi Lampung,2024,1800,6451324980059
212,Provinsi Maluku,2024,8100,4703361782966
213,Provinsi Maluku Utara,2024,8200,4802438789980
214,Provinsi Nusa Tenggara Barat,2024,5200,5967057171947
215,Provinsi Nusa Tenggara Timur,2024,5300,6529106425836
216,Provinsi Papua,2024,9400,3792829253743
217,Provinsi Papua Barat,2024,9200,5430880068841
218,Provinsi Papua Barat,2024,9100,5430880068841
219,Provinsi Riau,2024,1400,7611754280494
220,Provinsi Sulawesi Barat,2024,7600,2709626833659
221,Provinsi Sulawesi Selatan,2024,7300,8728125566771
222,Provinsi Sulawesi Tengah,2024,7200,5674402703924
223,Provinsi Sulawesi Tenggara,2024,7400,5829061816015
224,Provinsi Sulawesi Utara,2024,7100,4370276199315
225,Provinsi Sumatera Barat,2024,1300,6685845673234
226,Provinsi Sumatera Selatan,2024,1600,9163215157853
227,Provinsi Sumatera Utara,2024,1200,10730812320634
