namapemda,provinsi,tahun,level2,level3,jenis,nilai
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Umum,Dana Alokasi Umum Bidang Pendidikan,Realisasi,81667402000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Umum,Dana Alokasi Umum Penggajian Formasi PPPK,Anggaran,16610600000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Umum,Dana Alokasi Umum Penggajian Formasi PPPK,Realisasi,12196036926
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,Dana Bagi Hasil Perkebunan Sawit,Anggaran,13921243000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,Dana Bagi Hasil Perkebunan Sawit,Realisasi,13921243000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH PBB Bagian Daerah untuk Provinsi,Anggaran,14443337000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH PBB Bagian Daerah untuk Provinsi,Realisasi,14443337000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH PPh Pasal 21,Anggaran,34131740000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH PPh Pasal 21,Realisasi,34131740000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH PPh Pasal 25/29 OP,Anggaran,1048590000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH PPh Pasal 25/29 OP,Realisasi,1048590000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH SDA Kehutanan - Dana Reboisasi,Anggaran,66176000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH SDA Kehutanan - Dana Reboisasi,Realisasi,19852800
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH SDA Kehutanan - PSDH,Anggaran,13971000
